38,.exe,N/A,program,0,16777215,N/A,N/A,mysql,[],Desktop,0,{6D809377-6AF0-444B-8957-A3773F02200E}\MySQL\MySQL Server 8.0\bin\mysql.exe,N/A,MySQL 8.0 Command Line Client
39,.msc,N/A,program,0,16777215,N/A,N/A,eventvwr,[],Desktop,0,{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\eventvwr.msc,N/A,이벤트 뷰어
40,.msc,N/A,program,0,16777215,N/A,N/A,taskschd,[],Desktop,0,{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\taskschd.msc,N/A,작업 스케줄러
41,.exe,N/A,program,0,16777215,N/A,N/A,pythonw,[],Desktop,0,C:\Users\swan4\AppData\Local\Programs\Python\Python39\pythonw.exe,N/A,IDLE (Python 3.9 64-bit)
42,N/A,4.46.31121.0,program,0,4278221012,Microsoft.BingWeather_4.46.31121.0_x64__8wekyb3d8bbwe,Microsoft.BingWeather_8wekyb3d8bbwe,N/A,[],Trusted Immersive,0,N/A,Assets\AppTiles\WeatherAppList.png,날씨
43,N/A,10.2105.41472.0,program,0,4278221012,Microsoft.GetHelp_10.2105.41472.0_x64__8wekyb3d8bbwe,Microsoft.GetHelp_8wekyb3d8bbwe,N/A,[],Trusted Immersive,0,N/A,Assets\GetHelpAppList.png,도움말
44,N/A,10.4.41811.0,program,0,4278221012,Microsoft.Getstarted_10.4.41811.0_x64__8wekyb3d8bbwe,Microsoft.Getstarted_8wekyb3d8bbwe,N/A,[],Trusted Immersive,07/09/2021 23:55:42,N/A,Assets\TipsAppList.png,팁
45,.exe,N/A,program,1,16777215,N/A,N/A,iexplore,[],Desktop,07/25/2021 06:18:56,{6D809377-6AF0-444B-8957-A3773F02200E}\Internet Explorer\iexplore.exe,N/A,Internet Explorer
46,N/A,4.1901.12761.0,program,0,16777215,Microsoft.Messaging_4.1901.12761.0_x64__8wekyb3d8bbwe,Microsoft.Messaging_8wekyb3d8bbwe,N/A,[],Trusted Immersive,0,N/A,Assets\SmallLogo.png,메시지
47,N/A,7.2105.4012.0,program,0,16777215,Microsoft.Microsoft3DViewer_7.2105.4012.0_x64__8wekyb3d8bbwe,Microsoft.Microsoft3DViewer_8wekyb3d8bbwe,N/A,[],Trusted Immersive,0,N/A,Assets\Square44x44Logo.png,3D 뷰어
48,N/A,18.2106.12410.0,program,5,4282400832,Microsoft.MicrosoftOfficeHub_18.2106.12410.0_x64__8wekyb3d8bbwe,Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe,N/A,[],Trusted Immersive,07/10/2021 01:51:42,N/A,images\Square44x44Logo.png,Office
49,N/A,4.10.7290.0,program,0,4278221012,Microsoft.MicrosoftSolitaireCollection_4.10.7290.0_x64__8wekyb3d8bbwe,Microsoft.MicrosoftSolitaireCollection_8wekyb3d8bbwe,N/A,[],Trusted Immersive,0,N/A,Win10\MicrosoftSolitaireAppList.png,Microsoft Solitaire Collection
50,N/A,4.1.6.0,program,9,4282466625,Microsoft.MicrosoftStickyNotes_4.1.6.0_x64__8wekyb3d8bbwe,Microsoft.MicrosoftStickyNotes_8wekyb3d8bbwe,N/A,[],Trusted Immersive,07/23/2021 08:15:55,N/A,Assets\Icons\StickyNotesAppList.png,스티커 메모
51,N/A,2000.21051.1282.0,program,0,4280229663,Microsoft.MixedReality.Portal_2000.21051.1282.0_x64__8wekyb3d8bbwe,Microsoft.MixedReality.Portal_8wekyb3d8bbwe,N/A,[],Trusted Immersive,0,N/A,Assets\MixedRealityPortalAppList.png,Mixed Reality 포털
